"","ID","DATE","ELEMENT","VALUE","MFLAG","QFLAG","SFLAG","NAME","LONGITUDE","LATITUDE","ELEVATION","elevation","tmax_normal_annual","vpdmax_normal_annual","tdmean_normal_annual","tmean_normal_annual","tmin_normal_annual","vpdmin_normal_annual","ppt_normal_annual","slope","aspect","ppt_2021_02","ppt_2021_03","CV_GAM_MODEL","CV_GAM_RASTER_PREDS","CV_GAM_SNODAS_UA_50_50","CV_GAM_SNODAS_50_50","CV_GAM_SNODAS_60_40","CV_GAM_SNODAS_70_30","CV_GAM_SNODAS_80_20","CV_GAM_SNODAS_90_10","CV_GAM_SNODAS_100","SNODAS_VALUE"
"80818","USS0009J01S",2004-04-01,"WESD",147.3," "," ","T","King's Cabin",-109.54,40.72,0,2747,9.92000007629395,10.1000003814697,-6.69000005722046,2.34999990463257,-5.23000001907349,1.16999995708466,671.659973144531,4.78612435679289,87.9330736332216,27.7395992279053,98.5160980224609,99999,111.142580057356,99999,89.7989810939829,90.1587773127795,90.5185735315761,90.8783697503726,91.2381659691692,91.5979621879658,88
"97155","USS0009J05S",2004-04-01,"WESD",274.3," "," ","T","Mosby Mtn.",-109.89,40.61,0,2940,9,9.51000022888184,-7.94000005722046,1.80999994277954,-5.3899998664856,1.72000002861023,741.030029296875,1.89678728327232,118.85039185745,22.4615993499756,81.2182006835938,99999,230.365017932165,99999,273.329876054061,273.195851264873,273.061826475686,272.927801686498,272.79377689731,272.659752108122,274
"110888","USS0009J08S",2004-04-01,"WESD",66," "," ","T","Hickerson Park",-109.96,40.91,0,2781,10.2200002670288,10.4499998092651,-7.05000019073486,2.20000004768372,-5.82000017166138,1.21000003814697,548.580017089844,3.48667252307866,160.692760555936,29.0303993225098,87.3628005981445,99999,61.6188707084426,99999,6.92454749527995,8.30945699433594,9.69436649339193,11.0792759924479,12.4641854915039,13.8490949905599,0
"127225","USS0009J16S",2004-04-01,"WESD",185.4," "," ","T","Trout Creek",-109.67,40.74,0,2854,9.28999996185303,9.56999969482422,-7.01999998092651,1.82000005245209,-5.65999984741211,1.17999994754791,697.659973144531,1.48509419801237,267.774829830569,24.4925994873047,90.3390960693359,99999,223.73445407849,99999,178.197611395986,178.837133675183,179.47665595438,180.116178233577,180.755700512775,181.395222791972,175
"140617","USS0009K01S",2004-04-01,"WESD",73.7," "," ","T","East Willow Creek",-109.53,39.31,0,2595,11.1199998855591,11.0799999237061,-5.78999996185303,4.59999990463257,-1.91999995708466,1.77999997138977,523.950012207031,1.57835380153368,80.2727270697663,14.6694993972778,38.3272972106934,99999,3.85226469062639,99999,468.999999892497,468.999999870997,468.999999849496,468.999999827996,468.999999806495,468.999999784995,469
"159558","USS0009L03S",2004-04-01,"WESD",109.2," "," ","T","Lasal Mountain",-109.27,38.48,0,2849,11.539999961853,10.9399995803833,-6.28000020980835,5.32999992370605,-0.879999995231628,2.69000005722046,834.97998046875,7.48796762321208,301.127208872154,51.4824981689453,92.2237014770508,99999,220.751508830212,99999,60,60,60,60,60,60,60
"176980","USS0009M02S",2004-04-01,"WESD",180.3," "," ","T","Camp Jackson",-109.49,37.81,0,2638,11.4300003051758,10.0299997329712,-4.65999984741211,5.92000007629395,0.400000005960464,2.75999999046326,715.349975585938,8.54732262685655,272.159046815017,71.8532943725586,120.983093261719,99999,97.6512670755943,99999,2.20351118809429e-05,2.64421342571314e-05,3.084915663332e-05,3.52561790095086e-05,3.96632013856972e-05,4.40702237618857e-05,0
"190713","USS0010J01S",2004-04-01,"WESD",55.9," "," ","T","Hole-in-Rock",-110.19,40.92,0,2832,9.77000045776367,10.289999961853,-7.19999980926514,1.96000003814697,-5.8600001335144,1.10000002384186,565.909973144531,4.36565797328018,12.2142126904277,45.4468002319336,91.1778945922852,99999,92.9888383690532,99999,66.8058852335021,67.3670622802025,67.9282393269029,68.4894163736033,69.0505934203037,69.6117704670041,64
"204446","USS0010J04S",2004-04-01,"WESD",119.4," "," ","T","Hewinta",-110.48,40.95,0,2905,9.53999996185303,10.1700000762939,-7.73999977111816,1.38999998569489,-6.76999998092651,0.77999997138977,662.460021972656,1.95529107388256,331.747178159237,73.1356964111328,77.2440948486328,99999,176.794388804645,99999,167.483999444596,167.780799333515,168.077599222435,168.374399111354,168.671199000273,168.967998889192,166
"225681","USS0010J10S",2004-04-01,"WESD",279.4," "," ","T","Lakefork #1",-110.43,40.6,0,3138,8.06999969482422,8.9399995803833,-8.5600004196167,0.430000007152557,-7.21000003814697,1.53999996185303,678.039978027344,1.0087942885972,244.612222176501,50.0083999633789,66.1479949951172,99999,189.915808678607,99999,271.042050576228,267.650460691474,264.258870806719,260.867280921965,257.47569103721,254.084101152456,288
"250512","USS0010J18S",2004-04-01,"WESD",88.9," "," ","T","Rock Creek",-110.69,40.55,0,2404,11.6800003051758,11.9700002670288,-5.67999982833862,4.17000007629395,-3.34999990463257,1.89999997615814,609.840026855469,1.17958444335404,230.540740031152,53.225700378418,48.5750999450684,99999,42.6603057693362,99999,107.896276842666,105.275532211199,102.654787579732,100.034042948265,97.4132983167987,94.7925536853318,121
"266849","USS0010J20S",2004-04-01,"WESD",302.3," "," ","T","Steel Creek Park",-110.5,40.91,0,3086,8.26000022888184,8.94999980926514,-7.3899998664856,1.04999995231628,-6.17000007629395,0.949999988079071,762.510009765625,3.6784973319539,32.0648626684663,86.8357009887695,85.4633941650391,99999,294.808381999884,99999,537.763646301561,530.316375561873,522.869104822185,515.421834082497,507.974563342809,500.527292603122,575
"291618","USS0010J25S",2004-04-01,"WESD",396.2," "," ","T","Lakefork Basin",-110.62,40.74,0,3350,7.15999984741211,7.75,-7.09999990463257,0.25,-6.65999984741211,1.01999998092651,982.429992675781,3.40649694120011,153.130899651749,104.296600341797,71.9047012329102,99999,499.175976484971,99999,456.621582167154,458.945898600585,461.270215034016,463.594531467447,465.918847900878,468.243164334309,445
"304762","USS0010J26S",2004-04-01,"WESD",416.6," "," ","T","Five Points Lake",-110.47,40.72,0,3378,7.01999998092651,7.59999990463257,-7.3899998664856,-0.0199999995529652,-7.05999994277954,1.04999995231628,899.590026855469,5.76543064390204,140.480202163667,78.8807983398438,68.4054946899414,99999,371.678576812192,99999,384.809681852797,383.971618223357,383.133554593916,382.295490964476,381.457427335035,380.619363705595,389
"321099","USS0010J30S",2004-04-01,"WESD",431.8," "," ","T","Brown Duck",-110.59,40.58,0,3176,8.05000019073486,8.86999988555908,-8.47999954223633,0.899999976158142,-6.26000022888184,1.60000002384186,887,1.74620744356898,90.9459424829086,75.3267974853516,79.9032974243164,99999,363.898210156425,99999,288.700371984809,292.640446381771,296.580520778733,300.520595175695,304.460669572657,308.400743969619,269
"336351","USS0010J35S",2004-04-01,"WESD",167.6," "," ","T","Lily Lake",-110.8,40.86,0,2776,10.0600004196167,11.0600004196167,-6.98999977111816,2.22000002861023,-5.63000011444092,1,740.25,3.5403808747547,6.02004792518575,71.9704971313477,65.0101013183594,99999,194.611699882661,99999,139.02002440464,143.424029285568,147.828034166496,152.232039047424,156.636043928352,161.04004880928,117
"351944","USS0010J43S",2004-04-01,"WESD",274.3," "," ","T","Chepeta",-110.01,40.77,0,3188,7.23000001907349,7.8899998664856,-7.38000011444092,0.219999998807907,-6.78999996185303,1.27999997138977,799.5,3.63135708957878,208.798117965602,41.9619979858398,83.6820983886719,99999,294.344555619524,99999,345.21701013828,344.260412165936,343.303814193592,342.347216221248,341.390618248904,340.43402027656,350
"368281","USS0010J44S",2004-04-01,"WESD",116.8," "," ","T","Hayden Fork",-110.88,40.8,0,2815,9.85999965667725,10.7700004577637,-7.23000001907349,1.94000005722046,-5.98000001907349,0.949999988079071,872.460021972656,4.49553122934345,89.7249163672731,102.256896972656,80.1116943359375,99999,329.137037699746,99999,266.796739764864,271.156087717837,275.51543567081,279.874783623782,284.234131576755,288.593479529728,245
"384618","USS0010J52S",2004-04-01,"WESD",403.9," "," ","T","Trial Lake",-110.95,40.68,0,2985,8.59000015258789,9.34000015258789,-6.84999990463257,1.75999999046326,-5.07999992370605,1.37999999523163,1015.75,1.3284499441869,183.281094004999,120.689498901367,75.6825942993164,99999,467.264270645317,99999,160.176270810113,186.611524972135,213.046779134158,239.48203329618,265.917287458203,292.352541620226,28
"405388","USS0010K01S",2004-04-01,"WESD",149.9," "," ","T","Indian Canyon",-110.75,39.89,0,2716,11.1400003433228,11.3400001525879,-6,4.69000005722046,-1.75999999046326,3,637.429992675781,4.33716023420457,303.421979517047,50.1571998596191,64.0961990356445,99999,76.5399543377716,99999,146.087091089821,145.704509307785,145.32192752575,144.939345743714,144.556763961678,144.174182179642,148
"421663","USS0010K02S",2004-04-01,"WESD",119.4," "," ","T","White River #1",-110.99,39.96,0,2643,10.8199996948242,11.039999961853,-5.71000003814697,4.17000007629395,-2.48000001907349,2.38000011444092,594.22998046875,5.27568472332334,256.525474316617,55.4116973876953,48.4776000976562,99999,45.1010251080456,99999,83.4115303508595,82.6938364210313,81.9761424912033,81.2584485613751,80.540754631547,79.8230607017189,87
"462459","USS0011H08S",2004-04-01,"WESD",845.8," "," ","T","Ben Lomond Peak",-111.94,41.38,0,2050,12.5200004577637,12.3500003814697,-3.75,6.3600001335144,0.189999997615814,2.79999995231628,1422.57995605469,11.1265212121201,70.5683803513235,131.720397949219,35.2219009399414,99999,663.431763538571,99999,99.9045803932866,119.885496471944,139.866412550601,159.847328629259,179.828244707916,199.809160786573,0
"478796","USS0011H21S",2004-04-01,"WESD",348," "," ","T","Horse Ridge",-111.45,41.31,0,2485,10.3500003814697,9.98999977111816,-4.07999992370605,4.78000020980835,-0.800000011920929,2.46000003814697,932.130004882812,0.435409999082621,160.692614821965,109.118896484375,31.978199005127,99999,387.567242528922,99999,321.395414475004,322.674497370005,323.953580265006,325.232663160007,326.511746055008,327.790828950009,315
"495133","USS0011H25S",2004-04-01,"WESD",58.4," "," ","T","Little Bear",-111.83,41.41,0,1987,12.7200002670288,12.960000038147,-4.15000009536743,6.28999996185303,-0.140000000596046,2.77999997138977,905.559997558594,7.07004097484233,322.309229886841,93.6112976074219,33.2021980285645,99999,288.891422547688,99999,216.03759064662,219.245108775944,222.452626905268,225.660145034592,228.867663163916,232.07518129324,200
"510726","USS0011H30S",2004-04-01,"WESD",457.2," "," ","T","Ben Lomond Trail",-111.92,41.38,0,1791,13.8000001907349,14.3500003814697,-4.07000017166138,6.96000003814697,0.119999997317791,2.96000003814697,1071.18005371094,4.04709191447104,93.7728085489376,131.720397949219,35.2219009399414,99999,454.914199070621,99999,724.713727468596,715.056472962315,705.399218456034,695.741963949753,686.084709443472,676.427454937192,773
"536115","USS0011H36S",2004-04-01,"WESD",690.9," "," ","T","Tony Grove Lake",-111.63,41.9,0,2586,9.05000019073486,8.6899995803833,-4.26999998092651,3.75999999046326,-1.52999997138977,2.04999995231628,1208.91003417969,3.30430891537223,186.388134160072,187.05729675293,38.336498260498,99999,702.453507836736,99999,691,691,691,691,691,691,691
"552452","USS0011H37S",2004-04-01,"WESD",325.1," "," ","T","Bug Lake",-111.42,41.68,0,2507,10.0100002288818,10.3100004196167,-4.92000007629395,4.01000022888184,-1.99000000953674,2.16000008583069,772.22998046875,1.74798830921864,209.062748480968,106.781997680664,32.6759986877441,99999,228.473149323693,99999,366.492969731504,363.591563677805,360.690157624106,357.788751570407,354.887345516707,351.985939463008,381
"568789","USS0011H55S",2004-04-01,"WESD",294.6," "," ","T","Dry Bread Pond",-111.54,41.41,0,2515,9.89000034332275,9.67000007629395,-4.34999990463257,4.32000017166138,-1.25999999046326,2.32999992370605,788.739990234375,2.78678558411374,247.987252610088,107.969497680664,42.6879005432129,99999,275.082011629518,99999,323.127806429382,321.153367715258,319.178929001134,317.204490287011,315.230051572887,313.255612858763,333
"585126","USS0011H57S",2004-04-01,"WESD",530.9," "," ","T","Monte Cristo",-111.5,41.47,0,2697,8.65999984741211,8.75,-5.15999984741211,3.15000009536743,-2.35999989509583,1.98000001907349,998.820007324219,1.25634628366293,304.212471539667,141.50569152832,48.8178977966309,99999,428.406372097772,99999,517.427569778242,514.113083733891,510.798597689539,507.484111645188,504.169625600836,500.855139556485,534
"592845","USS0011H58S",2004-04-01,"WESD",259.1," "," ","T","Temple Fork",-111.55,41.79,0,2230,11.4200000762939,11.4099998474121,-3.84999990463257,5.63000011444092,-0.170000001788139,2.67000007629395,757.97998046875,3.43238317971395,282.47888545728,92.80419921875,22.4084987640381,99999,221.687724365447,99999,411.718606896848,406.262328276218,400.806049655588,395.349771034958,389.893492414327,384.437213793697,439
"621520","USS0011J01S",2004-04-01,"WESD",396.2," "," ","T","Chalk Creek #1",-111.05,40.85,0,2887,8.73999977111816,9.30000019073486,-6.40000009536743,2.72000002861023,-3.30999994277954,1.78999996185303,1056.92004394531,2.82926220198967,91.6048646992103,104.362098693848,92.0610961914062,99999,422.581179880612,99999,236.706787453443,246.048144944132,255.38950243482,264.730859925509,274.072217416197,283.413574906886,190
"637857","USS0011J02S",2004-04-01,"WESD",276.9," "," ","T","Chalk Creek #2",-111.07,40.89,0,2454,11.2700004577637,11.6300001144409,-5.25,4.61999988555908,-2.03999996185303,2.11999988555908,734.25,5.67295699457566,319.575750428287,65.3061981201172,54.2271003723145,99999,128.679024131504,99999,269.487416568778,261.584899882533,253.682383196289,245.779866510044,237.8773498238,229.974833137555,309
"657883","USS0011J08S",2004-04-01,"WESD",259.1," "," ","T","Strawberry Divide",-111.21,40.16,0,2495,11.8400001525879,12.1899995803833,-5.09000015258789,4.92000007629395,-2.00999999046326,2.32999992370605,730.950012207031,5.74489855501885,103.968250946965,72.3123016357422,37.7078971862793,99999,151.634955470849,99999,82.0008782748883,83.601053929866,85.2012295848437,86.8014052398213,88.401580894799,90.0017565497767,74
"674220","USS0011J11S",2004-04-01,"WESD",1028.7," "," ","T","Farmington",-111.82,40.99,0,2150,11.7600002288818,11.1000003814697,-3.73000001907349,5.57000017166138,-0.620000004768372,2.38000011444092,1131.77001953125,0.736637377466184,251.158862176166,156.68359375,71.0698013305664,99999,531.275855098657,99999,757.673786682172,737.008544018607,716.343301355042,695.678058691476,675.012816027911,654.347573364345,861
"681195","USS0011J12S",2004-04-01,"WESD",556.3," "," ","T","Farmington Lower",-111.81,40.97,0,2498,9.69999980926514,8.88000011444092,-3.46000003814697,4.71000003814697,-0.280000001192093,2.49000000953674,1401.89001464844,11.4677232111506,46.9789822055581,176.176300048828,79.9685974121094,99999,843.525747366431,99999,786.853025333339,793.623630400007,800.394235466675,807.164840533343,813.935445600011,820.706050666679,753
"697532","USS0011J21S",2004-04-01,"WESD",416.6," "," ","T","Timpanogos Divide",-111.62,40.43,0,2547,10.3999996185303,9.78999996185303,-4.30000019073486,5.34000015258789,0.280000001192093,3.03999996185303,1015.34997558594,9.92744006770794,24.6721777132582,80.8000946044922,84.3266983032227,99999,361.384469861889,99999,427.370730533319,425.044876639983,422.719022746647,420.393168853311,418.067314959975,415.741461066639,439
"717589","USS0011J23S",2004-04-01,"WESD",238.8," "," ","T","Daniels-Strawberry",-111.26,40.3,0,2494,11.6899995803833,12.1700000762939,-5.44999980926514,4.94000005722046,-1.82000005245209,2.4300000667572,814.159973144531,5.36703491579627,67.4774835823557,77.9416961669922,43.6414985656738,99999,206.783214185446,99999,252.235323559961,250.882388271953,249.529452983946,248.176517695938,246.82358240793,245.470647119922,259
"733926","USS0011J32S",2004-04-01,"WESD",76.2," "," ","T","Currant Creek",-111.09,40.36,0,2470,12.0500001907349,12.6199998855591,-6.1399998664856,3.6800000667572,-4.69999980926514,1.47000002861023,604.460021972656,2.4642155426093,159.327353873063,63.2824974060059,39.5912971496582,99999,75.6070773971493,99999,111.119727568992,110.34367308279,109.567618596588,108.791564110387,108.015509624185,107.239455137983,115
"744683","USS0011J37S",2004-04-01,"WESD",309.9," "," ","T","Hardscrabble",-111.72,40.87,0,2253,11.9899997711182,11.1499996185303,-3.17000007629395,6.19999980926514,0.409999996423721,2.66000008583069,990.580017089844,7.92614743220779,306.682336668905,157.260589599609,65.1208953857422,99999,433.157049743678,99999,341.554433823032,358.865320587639,376.176207352245,393.487094116852,410.797980881458,428.108867646065,255
