"","ID","DATE","ELEMENT","VALUE","MFLAG","QFLAG","SFLAG","NAME","LONGITUDE","LATITUDE","ELEVATION","elevation","tmax_normal_annual","vpdmax_normal_annual","tdmean_normal_annual","tmean_normal_annual","tmin_normal_annual","vpdmin_normal_annual","ppt_normal_annual","slope","aspect","ppt_2021_02","ppt_2021_03","CV_GAM_MODEL","CV_GAM_RASTER_PREDS","CV_GAM_SNODAS_UA_50_50","CV_GAM_SNODAS_50_50","CV_GAM_SNODAS_60_40","CV_GAM_SNODAS_70_30","CV_GAM_SNODAS_80_20","CV_GAM_SNODAS_90_10","CV_GAM_SNODAS_100","SNODAS_VALUE"
"80818","USS0009J01S",2004-04-01,"WESD",147.3," "," ","T","King's Cabin",-109.54,40.72,0,2747,9.92000007629395,10.1000003814697,-6.69000005722046,2.34999990463257,-5.23000001907349,1.16999995708466,671.659973144531,4.78612435679289,87.9330736332216,27.7395992279053,98.5160980224609,135.709714842167,111.553724521467,99999,89.4728707150328,89.7674448580394,90.062019001046,90.3565931440525,90.6511672870591,90.9457414300657,88
"97155","USS0009J05S",2004-04-01,"WESD",274.3," "," ","T","Mosby Mtn.",-109.89,40.61,0,2940,9,9.51000022888184,-7.94000005722046,1.80999994277954,-5.3899998664856,1.72000002861023,741.030029296875,1.89678728327232,118.85039185745,22.4615993499756,81.2182006835938,275.257487183158,232.698142318855,99999,271.173151198411,270.607781438093,270.042411677775,269.477041917457,268.91167215714,268.346302396822,274
"110888","USS0009J08S",2004-04-01,"WESD",66," "," ","T","Hickerson Park",-109.96,40.91,0,2781,10.2200002670288,10.4499998092651,-7.05000019073486,2.20000004768372,-5.82000017166138,1.21000003814697,548.580017089844,3.48667252307866,160.692760555936,29.0303993225098,87.3628005981445,54.6433472457567,60.7414755167849,99999,5.88828290424457,7.06593948509348,8.2435960659424,9.42125264679131,10.5989092276402,11.7765658084891,0
"127225","USS0009J16S",2004-04-01,"WESD",185.4," "," ","T","Trout Creek",-109.67,40.74,0,2854,9.28999996185303,9.56999969482422,-7.01999998092651,1.82000005245209,-5.65999984741211,1.17999994754791,697.659973144531,1.48509419801237,267.774829830569,24.4925994873047,90.3390960693359,180.146599513722,229.704330361486,99999,179.416245911658,180.29949509399,181.182744276322,182.065993458653,182.949242640985,183.832491823317,175
"140617","USS0009K01S",2004-04-01,"WESD",73.7," "," ","T","East Willow Creek",-109.53,39.31,0,2595,11.1199998855591,11.0799999237061,-5.78999996185303,4.59999990463257,-1.91999995708466,1.77999997138977,523.950012207031,1.57835380153368,80.2727270697663,14.6694993972778,38.3272972106934,72.9489149690116,49.9222024989863,99999,468.999999909104,468.999999890925,468.999999872746,468.999999854567,468.999999836387,468.999999818208,469
"159558","USS0009L03S",2004-04-01,"WESD",109.2," "," ","T","Lasal Mountain",-109.27,38.48,0,2849,11.539999961853,10.9399995803833,-6.28000020980835,5.32999992370605,-0.879999995231628,2.69000005722046,834.97998046875,7.48796762321208,301.127208872154,51.4824981689453,92.2237014770508,286.550799185836,255.948639337083,99999,60,60,60,60,60,60,60
"176980","USS0009M02S",2004-04-01,"WESD",180.3," "," ","T","Camp Jackson",-109.49,37.81,0,2638,11.4300003051758,10.0299997329712,-4.65999984741211,5.92000007629395,0.400000005960464,2.75999999046326,715.349975585938,8.54732262685655,272.159046815017,71.8532943725586,120.983093261719,3.76093499654063,104.750933760072,99999,4.48430078945341e-05,5.38116094734409e-05,6.27802110523478e-05,7.17488126312546e-05,8.07174142101614e-05,8.96860157890682e-05,0
"190713","USS0010J01S",2004-04-01,"WESD",55.9," "," ","T","Hole-in-Rock",-110.19,40.92,0,2832,9.77000045776367,10.289999961853,-7.19999980926514,1.96000003814697,-5.8600001335144,1.10000002384186,565.909973144531,4.36565797328018,12.2142126904277,45.4468002319336,91.1778945922852,66.8035267656046,56.764124733952,99999,63.1057197055789,62.9268636466947,62.7480075878105,62.5691515289262,62.390295470042,62.2114394111578,64
"204446","USS0010J04S",2004-04-01,"WESD",119.4," "," ","T","Hewinta",-110.48,40.95,0,2905,9.53999996185303,10.1700000762939,-7.73999977111816,1.38999998569489,-6.76999998092651,0.77999997138977,662.460021972656,1.95529107388256,331.747178159237,73.1356964111328,77.2440948486328,193.380987841702,176.028301525117,99999,167.469268116679,167.763121740015,168.056975363351,168.350828986686,168.644682610022,168.938536233358,166
"225681","USS0010J10S",2004-04-01,"WESD",279.4," "," ","T","Lakefork #1",-110.43,40.6,0,3138,8.06999969482422,8.9399995803833,-8.5600004196167,0.430000007152557,-7.21000003814697,1.53999996185303,678.039978027344,1.0087942885972,244.612222176501,50.0083999633789,66.1479949951172,237.540311392534,196.509206469829,99999,274.704023456162,272.044828147394,269.385632838627,266.726437529859,264.067242221091,261.408046912324,288
