"","ID","DATE","ELEMENT","VALUE","MFLAG","QFLAG","SFLAG","NAME","LONGITUDE","LATITUDE","ELEVATION","elevation","tmax_normal_annual","vpdmax_normal_annual","tdmean_normal_annual","tmean_normal_annual","tmin_normal_annual","vpdmin_normal_annual","ppt_normal_annual","slope","aspect","ppt_2021_02","ppt_2021_03","CV_GAM_MODEL","CV_RF_MODEL","CV_LM_MODEL","CV_GAM_RASTER_PREDS","CV_RF_RASTER_PREDS","CV_LM_RASTER_PREDS","CV_GAM_SNODAS_50_50","CV_GAM_SNODAS_60_40","CV_GAM_SNODAS_70_30","CV_GAM_SNODAS_80_20","CV_GAM_SNODAS_90_10","CV_GAM_SNODAS_100","SNODAS_VALUE","UA_VALUE","DAYMET_VALUE"
"72634","USS0009J01S",1982-04-01,"WESD",358.1," "," ","T","King's Cabin",-109.54,40.72,2659.1,2747,9.92000007629395,10.1000003814697,-6.69000005722046,2.34999990463257,-5.23000001907349,1.16999995708466,671.659973144531,4.78612435679289,87.9330736332216,27.7395992279053,98.5160980224609,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"88971","USS0009J05S",1982-04-01,"WESD",386.1," "," ","T","Mosby Mtn.",-109.89,40.61,2898.6,2940,9,9.51000022888184,-7.94000005722046,1.80999994277954,-5.3899998664856,1.72000002861023,741.030029296875,1.89678728327232,118.85039185745,22.4615993499756,81.2182006835938,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"119041","USS0009J16S",1982-04-01,"WESD",348," "," ","T","Trout Creek",-109.67,40.74,2901.1,2854,9.28999996185303,9.56999969482422,-7.01999998092651,1.82000005245209,-5.65999984741211,1.17999994754791,697.659973144531,1.48509419801237,267.774829830569,24.4925994873047,90.3390960693359,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"151374","USS0009L03S",1982-04-01,"WESD",502.9," "," ","T","Lasal Mountain",-109.27,38.48,2913.9,2849,11.539999961853,10.9399995803833,-6.28000020980835,5.32999992370605,-0.879999995231628,2.69000005722046,834.97998046875,7.48796762321208,301.127208872154,51.4824981689453,92.2237014770508,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"217497","USS0010J10S",1982-04-01,"WESD",401.3," "," ","T","Lakefork #1",-110.43,40.6,3174.5,3138,8.06999969482422,8.9399995803833,-8.5600004196167,0.430000007152557,-7.21000003814697,1.53999996185303,678.039978027344,1.0087942885972,244.612222176501,50.0083999633789,66.1479949951172,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"242328","USS0010J18S",1982-04-01,"WESD",226.1," "," ","T","Rock Creek",-110.69,40.55,2404.6,2404,11.6800003051758,11.9700002670288,-5.67999982833862,4.17000007629395,-3.34999990463257,1.89999997615814,609.840026855469,1.17958444335404,230.540740031152,53.225700378418,48.5750999450684,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"258665","USS0010J20S",1982-04-01,"WESD",548.6," "," ","T","Steel Creek Park",-110.5,40.91,3109,3086,8.26000022888184,8.94999980926514,-7.3899998664856,1.04999995231628,-6.17000007629395,0.949999988079071,762.510009765625,3.6784973319539,32.0648626684663,86.8357009887695,85.4633941650391,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"296578","USS0010J26S",1982-04-01,"WESD",629.9," "," ","T","Five Points Lake",-110.47,40.72,3334.5,3378,7.01999998092651,7.59999990463257,-7.3899998664856,-0.0199999995529652,-7.05999994277954,1.04999995231628,899.590026855469,5.76543064390204,140.480202163667,78.8807983398438,68.4054946899414,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"312915","USS0010J30S",1982-04-01,"WESD",731.5," "," ","T","Brown Duck",-110.59,40.58,3230.9,3176,8.05000019073486,8.86999988555908,-8.47999954223633,0.899999976158142,-6.26000022888184,1.60000002384186,887,1.74620744356898,90.9459424829086,75.3267974853516,79.9032974243164,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"328167","USS0010J35S",1982-04-01,"WESD",495.3," "," ","T","Lily Lake",-110.8,40.86,2790.7,2776,10.0600004196167,11.0600004196167,-6.98999977111816,2.22000002861023,-5.63000011444092,1,740.25,3.5403808747547,6.02004792518575,71.9704971313477,65.0101013183594,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
